id,text,task1,task2,task3
272,biblebelieving jesusloving christian say without hesitancy indeed one best speeches ever heard many pastors listened believe listened many never spoke truth passion steve jobs interesting experiences life picked many things god instructs us word life short one find love let fear people people wordscounter advice hold back chances exactly god chosen blessed scared step step afraid successful person tell could greatest hindrance thank mr jobs honest generous words use generously,Non-Supportive,No,No
386,clicked video thinking hope motivates homework finishing wan na figure life move homeworkloudly crying face,Non-Supportive,No,No
677,supreme god kabir wonderful spiritual knowledge revealed saint rampal ji maharaj knowledge totally based holy books religious,Non-Supportive,No,No
2517,euro macht vs france,Non-Supportive,No,No
4819,black people still wonder police act way around,Non-Supportive,No,No
8579,dreamy traveler mrs hellen gabriel mentioned ah made wife house car aweinspiring,Non-Supportive,No,No
959,luyolo mazibuko bro shut ur mouth u means,Non-Supportive,No,No
7306,wild people celebrating comments video fineconfusion first lady clearly end rope even care got empathize perspective show exact treatment accuse showing parallel hating sinners sin lot women bought empty dream modern feminism still people losing ability relate pain help one iota however could use help change cultural drive pushing women cliff reiterate even suffering something design still acknowledge light similar one done stupid stuff therefore hurt,Non-Supportive,No,No
8586,love support pakistan heart ribbon allah give palestine freedom ameen,Supportive,Group,Nation
5110,bathing owen got great content understand word says plus spastic impossible watch,Non-Supportive,No,No
9620,stressful times studying important exam really helps less months said exam hope able come back say,Non-Supportive,No,No
573,understand single word sang however living occupation deserve support free palestine,Supportive,Group,Nation
4688,cops nothing bring army would taken cars bad yes guy murdered cant think kill every cop nothing wonder cops take time showing protect kind country live america great yet,Supportive,Group,Other
9993,israel came palestine live jews fled hitler world war ii israel began control palestine situation reached point also palestinians defending people stand israel also palestinians kill israelis children women even men israelis killed children women without mercy imagine young child playing suddenly people come kill father mother sister brother left alone knowing whether cry run away please realize israel fault,Supportive,Group,Nation
7183,third gal simply understand friend told shockingneutral face best men simply match undoubtedly want simply understand men give sht successful independent attractive inside thinkconfusion physically non repulsive personality choice bitchy unresponsive,Non-Supportive,No,No
5362,stay ahead emptiness mind accept afresh anew things foolish insightful halfwitted creator seriously implicated electrified speech spectacularly catchphrase sorts digital platform creator terms make super indeed digital things steve jobs digital paradigm innovative intellectual rekindling inherent quality inquisitive digital multifaced things larger extend remarkable stand speech super special,Non-Supportive,No,No
3073,crying crying face loudly crying face really strong woman woman,Supportive,Individual,No
4934,friend reading wish best life succeed endeavors want successful life may odds ever favor,Non-Supportive,No,No
1921,people palestine good looking beautiful kind people let lived happy life stopped bombing country lord god embrace people pf palestine spread wings small children walking running oppress u suddenly stumble died spot human human freedom lived earth people palestine strong always pray god end,Supportive,Group,Nation
88,profound showing yet making sad want cry poor babies,Non-Supportive,No,No
1734,amazing every guy comments assumes woman fault position maybe see nothing indicate video maybe maybe ex abusive ahole know,Non-Supportive,No,No
6049,threatening lives officers purposefully endangering hood holding hostage try keep driving away course going flee car stopped concern likely proficient medical training able real help like first car attacked leaving dumb idiot sat hood useless rioters,Non-Supportive,No,No
6655,people takin blm black lives matter take black lives matter also said white people get shot da cops course dat may true white people black people u wonna bring statistics da table cities,Non-Supportive,No,No
4786,dumb guy fault fell got hurt like climbs moving vehicle,Non-Supportive,No,No
9258,analogy bit base imho got welcomed world bus great deal men end due women,Non-Supportive,No,No
8697,plzz donate children palestine us suspended funding unwra copy bitcoin adress jxsfzmxzofxufwelpteefwrpdsvg send much u want help children god protects chidren,Supportive,Group,Other
1100,hamas west bank happens daily basishow explain,Non-Supportive,No,No
7218,alpha male support new guiltridden modern woman support woman day yesterday sat pee today go back work sad men age like wine time biggest kick ass woman maybe identify man life would much easier anyone woman non days woman become male wait till band woman sports one gender teams go feminist one move reduced woman pronoun,Non-Supportive,No,No
673,strong struggle problem come back hold mike talk huge people love god bless thanks lot ethiopia,Supportive,Individual,No
1159,amen inspiring message thank heavy heart exclamation needed reminder staybless always folded hands,Non-Supportive,No,No
2822,dear god time ungrateful please forgive blessings muniba,Non-Supportive,No,No
6055,always stand people police men need stay away communities unless help,Supportive,Group,Other
163,motivation temporary habits permanent motivation like state mind like r happy u r sad thing motivation cant remain motivated time habits permanent habits develop consistency,Non-Supportive,No,No
9870,think catch says even face car accident child,Non-Supportive,No,No
4701,would run idc get arrested would say umm harassing,Non-Supportive,No,No
6276,quick answer title yes movement full racism leaders refuse denounce racist acts supporters sometimes even praising praising racist action racist,Non-Supportive,No,No
2363,long wife happy one believes makes choices even pretend face tears joy happy care stuff like would rather stay single marry woman already married got kids happy wife love life since would never cheat cheat would also cheat children still much love always show love daily basis also best friend,Non-Supportive,No,No
9958,well got children families murdered,Non-Supportive,No,No
9354,people call ronaldo selfish made love ronaldo even,Supportive,Individual,No
9629,ptsd fixed,Non-Supportive,No,No
7676,one afraid love kids saw kiss would proud know would bat eyelid normal personally bisexual believe much stigma hate judgment still love matters sharing feelings another personal thing never make wrong would proud hold hand park would wife children boyfriend time world grew,Supportive,Group,LGBTQ
7988,problem homophobes matter plainly lay truth love love exact know talking brick wall stupid people bringing bible realize words works men god proof anyway yet use bible says proof taken context largely tailored argument words people put paper long time ago tiny brains incapable understanding bible work fiction morality man better judged star trek series,Non-Supportive,No,No
1347,woman claim independant woman think even matters job house car pay bills everyone else make special expect guy pay date though right lol got big deal boyfriend though never marry though,Non-Supportive,No,No
6944,gon na tell like dad said went europe told many black people saw told son place earth everywhere remember ever since,Non-Supportive,No,No
4637,disheartening situation man dead horrible doubt smash windows chp car la nothing every action reaction officers la engaged action received terrible reaction man mirror want make world better place take look make change,Non-Supportive,No,No
5886,k wait hate comment two gay people kissing yell suck go around say cause society taught people gay care gay act like opposite gender etc really support really business back kissing part yell gay hate people kiss public gay straight like could n wait til got,Non-Supportive,No,No
5358,happy see smiling child god bless family helped,Supportive,Individual,No
1181,anyone help translation lyrics song,Non-Supportive,No,No
6592,saying regardless colour another movement support violence know people leading movements violent protests motives care people selfish lives matter,Non-Supportive,No,No
2558,done great trying get onto housing ladder wish testifying similar success,Non-Supportive,No,No
9178,please requirements get started bitcoin trading much service charge help trade make profits,Non-Supportive,No,No
470,jobs life treasure teaching let us appeal time erase,Non-Supportive,No,No
2525,soon said windows copied mac lost interest mac interface copied xerox amiga workbench ipad copied knight ridder iphone based unreleased sony walkman phone get real,Non-Supportive,No,No
5833,absolutely hate fact mother two children said front kids wrong least next generation know okay two men two woman love sad parents think seeing two gay people public bad influence children,Supportive,Group,LGBTQ
6503,problem blm pushing marxism solution concerns also room discussing alternative solutions seen video rational informed people want marxism get support blm racist marxism bad everyone,Non-Supportive,No,No
6357,news mainly cnn youtube hate people speaking truth go anyone notice black lives matter popular right last let us say 3 elections think also watch couple videos less people protests rains care wan na protest also people said innocent lives young children palestine slave trade africa huh matter,Non-Supportive,No,No
5375,mam way cnditn u moved people judge u r fine cn tlk u bt struggle body see result everyone looks wht give complement think bt struggle behind thts student know result lights bt struggle body even want know thts true line lyf,Non-Supportive,No,No
9880,true maybe explosions,Non-Supportive,No,No
9625,moment said choice grinned theres omething bout refusal take accountability make tears sweeter,Non-Supportive,No,No
1920,tanishqpatrathe mughals existed years ago beyond ridiculous know current increase islamophobia many reasons mughals existing years ago bc live india mean understand political movement fascism intellectual perspective opinion fact political science science many books available hindutva actual scholars care understand ultra conservative fascist movement,Non-Supportive,No,No
4926,supression depression read quran heal give answers knew notred heart,Non-Supportive,No,No
7865,wow scared happy time idk know reason know god made way sinfully humans made full sin jesus payed price could live believer god bible follow understand others think meant good followers god never judges uses god words hate love love god knows get one shot life live way want,Non-Supportive,No,No
4911,oh zionists pay every tear comes palestinians would see day palestine free chains slavery would see israel palestine love pakistan,Supportive,Group,Nation
6418,believe man said already understood white lives matter record white people die cops annually race arrested killed confusion alllivematter,Non-Supportive,No,No
9905,israel wtf wtf wtf pouting face dont love israel support stand palestinian red heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heart,Supportive,Group,Nation
7762,homophobia means afraid gay people word misnomer one afraid homosexuals dont hate dont condone behaviour nowadays u say dont condone homosexual way life ur deemed homophobic bs jesuschrist likes homisexuals answer yes condone behavior answer,Non-Supportive,No,No
1336,bright patrick came across writing testimonies different places thinking made stories till really convinced gave try honestly speaking regret move made cause investing bigger way since,Non-Supportive,No,No
7963,lord said love neighbor love christians accept homosexuality,Supportive,Group,LGBTQ
6401,asian american black lives matter asians made fun receiving end prejudice caucasians african americans grew treated extremely poorly ethnicity along many asians african american community never saw us storm streets crying asian lives matter better rise prejudice cultures differ saying black lives matter immature arrogant implies racism going america blm movement separating us even already lives matter african americans ones receiving end prejudice could said people middle east spanish chinese black lives matter answer america humans matter,Non-Supportive,No,No
3093,people fail understand wise stay financial stable spending less investing unwise remain poor spending yet investing like wise ones,Non-Supportive,No,No
5802,always reminded fault others horrible people still think like long looks pls let affect lover would always look face see would notice stares smiling face smiling eyes also stand cross line rights think staring compare violence fault perception believe dealt many reasons gay wearing freakish clothes etc,Non-Supportive,No,No
9826,father go high school owns farm house made success said know make money son worries although find woman im grateful im grateful told still met ladyi love buying guitars finishing payments way see want meet lady let meet,Non-Supportive,No,No
1368,watching called children gone war show talent shows like watching courage bravery loyalty people pray sum money country still understand leave video turn internet,Non-Supportive,No,No
2382,song meant made emotion yah allah grant peace,Supportive,Group,Other
8719,god knew rolling floor laughing women decided screw get kicked eden rolling floor laughing get live hell,Non-Supportive,No,No
6288,blm movement bring justice end prejudice racism black people white people never understand thus feel targetted never gone steps black people hundreds years,Supportive,Group,Black Community
3954,words u folded handstwo heartsur story nd words inspiring mered heartsmiling face smiling eyes,Non-Supportive,No,No
2709,would like sheer enjoyment asking carry try go ogling suggestions greyzar drinbo probably go less minutes usually,Non-Supportive,No,No
6857,something never understood people call black people african americans american lol like gunna call british american genealogy crazy facts percentages absolute f people back still blows mind folks acted 150 years ago humans enslaving humans treating like property segregation racism breaks heart going constitution written america built right yet motto united stand divided fall make sense us built black black people born soil endured still terrible treatment black people built nation gave us hip hop seasoned food forever grateful,Supportive,Group,Black Community
1424,understand language got understanding saying want free palestine red heart,Supportive,Group,Nation
1745,angels relaying us inhuman atrocities gaza also cheering traumatised children may safe indiscriminate killing machine,Supportive,Group,Other
161,muslins countries give land palestine people,Supportive,Group,Nation
1998,nice propaganda blaming unnecessary pain israel someone tell poor boy blame hamas stay strong lil one,Supportive,Individual,No
3408,conceive considered geriatric pregnancy believe lies child want designed happen years earlier woman born eggs improve age like fine wine sean connery,Non-Supportive,No,No
3990,domhamai idk screams incel said actually right worded little hostile,Non-Supportive,No,No
1742,want open convenient store years old help someone help come plan,Non-Supportive,No,No
8425,indians condemning israil oppressor listen first go condemn govjust like israilian citizens say whatever gov tells samefree kashmir,Supportive,Group,Nation
5222,wish could something help year old love pakistan country allah us,Non-Supportive,No,No
7868,sooo inspiringsooo weird old man took undies,Non-Supportive,No,No
8379,stand u palestine allah blessing u palestine savepalestine freepalestine,Supportive,Group,Nation
924,yes choice blow nose take responsibility,Non-Supportive,No,No
3752,please pray person wants end financial hardship life whenever see want launch service business soon,Non-Supportive,No,No
2477,hey anirudh india pray day world peace inshallah things get better tears hold back tears hard live war torn country take freedom granted really hurts two governments suffer love neighbouring country pakistan much human love may khuda bless,Supportive,Group,Nation
5853,honest sometimes afraid look people think judging em silently sum always habit look around want catch people gaze try look away casual think judging em silently something,Non-Supportive,No,No
1488,west know residents gaza support crimes hamas given opportunity arab country ready accept know truth king hussein invited country within years tried assassinate also happened lebanon tunisia murdered threw fatah brothers high buildings gaza elections,Non-Supportive,No,No
6647,take moment observe real history hello planet earth take moment thank native people helping save ancestors people didnt wish didnt absolutely ungrateful gratitude face rolling eyes,Non-Supportive,No,No
4755,haha funny guy car lands face use seatbelt next time,Non-Supportive,No,No
2855,understand saying captions feel bad kids hope better guys greetings maryland usa kiss marksparkling heartred heartface blowing kiss,Supportive,Group,Other
6943,ya never said anything american,Non-Supportive,No,No
4851,ah trade blame gaza hospital mean incident clearly islamic jihad rocket nice propaganda video nice,Non-Supportive,No,No
1025,world see palestine going yet one helping world world words action really really hate power would sacrifice everything got bring peace lands love south africared heart,Supportive,Group,Nation
6596,dude said something another dude get burgers burger lol late burgers face stuckout tongue closed eyesrolling floor laughing,Non-Supportive,No,No
7438,recent information situation chose judo trhow ippon ce oi nage make drop 1 million 52 dollars trying use buy sandwiches said worries health population,Non-Supportive,No,No
3481,understand single word make video tough life difficulties face everyday heart pain seeing much loveface blowing kissloudly crying face smiling face hearteyes,Non-Supportive,No,No
2046,evacuate hard evacuate israel even said,Non-Supportive,No,No
6254,like black guy said already understood known white lives matter therefore need white lives matter movement police brutality aimed mainly toward black men activists created black lives matter movement movement created say black lives matter created say black lives matter simple,Supportive,Group,Black Community
6116,nephillim flood type jesus reveal antichrist time line world history documentaries story first human ancestors stand two legs peter kelly breaking news three ancient hominid species discovered time period nagas pictures egypt canaanite google nephillim today wonder oplis org survial international org,Non-Supportive,No,No
1117,happy count among testifying platform trading like dream come true never believe going receive profit till received notification incoming btc wallet forex options profit made withdrawal successfully expertforexearners,Non-Supportive,No,No
76,islamwow ronaldo supported palestine disabled kid woman morocco earthquake helps old people saying selfish fuck islam,Supportive,Individual,No
8861,ones saw one quote think future lack confidence sometimes make type decision break heart give peace soul born poor fault u die poor fault party popperparty popper,Non-Supportive,No,No
2575,see innocent children taught young age hate let children stand front rockets teach rape keep away fight warned,Non-Supportive,No,No
1483,touching gon na make cry loudly crying faceface tears joy rip steve jobbs apple,Non-Supportive,No,No
9153,sad whats happening palestine muslim countries muslims countries take stand loveandprayers frompakistan,Supportive,Group,Nation
3870,god bless kids made cry despite didnt understand even single word love philippines beating heartbeating heartbeating heart,Supportive,Group,Other
5412,years today come back comment see growing idea future seems totally dark,Non-Supportive,No,No
6438,movement exclusivises race go jump race one least important things skin color tells nothing content character also ethically support racial interest group collectivizes race vote think class brought values struggles bernie sanders lost support literally said httpsskeptical annoyed undecided uneasy hesitantwwwpolitifactcomfactchecks2016mar07berniesberniesanderswrongsaywhenyourewhiteyoudont,Non-Supportive,No,No
7688,amazing know late audience yes love support guys always red heartred heart,Supportive,Group,Other
7033,sad reality western world live good enough reliant partner mentally financially strong enough sustain kind life fullest disconnect genders always could make living single least cases unfortunately going get worse inflated expectations life help either good luck us,Non-Supportive,No,No
9863,winners war people share land way sad,Non-Supportive,No,No
4361,world become alright wants go back 2018 70000 seats left,Non-Supportive,No,No
4311,respect law enforcement hope cops rot hell human waste sorry george two hearts may rest peace red heart,Non-Supportive,No,No
3661,time line yr old kid bad lufe crying facecrying face,Non-Supportive,No,No
6409,burgertime moron needs relax said need white people last time checked plant stop spreading racism please stop trying segregate people race unite,Non-Supportive,No,No
5315,actually second woman guys mixed bag us like girl dependent us feel like used like independent women may feel like really want us want girl defend still looks security afraid girl support needs help needs girl capable still hopeless times someone wants makes feel like needs around even small stuff edit third woman idiot average best hurt back kiss like seriously guy said women would dig bs,Non-Supportive,No,No
9383,terrorists israel help us west world watching israel genocide need stand injustice,Non-Supportive,No,No
2113,yep helping everyone one else hole life time put first smiling face smiling eyes,Non-Supportive,No,No
7463,said bout get paid air face tears joy,Non-Supportive,No,No
7883,know political views mentioned video like many liberals classify republicans homophobic transphobic fully support homosexual relationships think rights everyone else mean marriage stuffconfusion leave alone let things gay would want everybody school supporting would getting attention something would seem natural conservativeconfusion,Supportive,Group,LGBTQ
4050,love ronaldo action belief faith,Non-Supportive,No,No
7909,beautiful indeed c est mignon french love really friend like frienemies see beauty way said truths used one raised eyebrows thoughts got medical degree became surgeon deconverted atheist learned cut underneath skin bleed hurt feel pain cold glare harsh words human belongs earth make heaven please,Non-Supportive,No,No
4412,kinda looks staged lol msm channel soo blm riots 1000000 times worse anything happened 16confusion saying,Non-Supportive,No,No
9608,oh allah protect brothers sisters palestine give victory allah red heart,Supportive,Group,Nation
5905,care people decide want live gay lifestyle care people begin want everyone express support homosexuals homophobic support gay rights much less express one opinion,Non-Supportive,No,No
7440,ever fight bunch drunks super alcoholic power 2 officers trying stop violence someone really got hurt understand wait see rest video,Non-Supportive,No,No
4392,people every right demonstrate looting setting buildings fire nothing racist police violence riots must put force necessary,Non-Supportive,No,No
5688,wow amazing see others trade mrs elizabeth graham currently th trade portfolio grown tremendously,Non-Supportive,No,No
4867,u dont need muslim stand palestine need human,Supportive,Group,Nation
474,overcame tribadism multilevel marketing,Non-Supportive,No,No
7240,older sister livingin fiancée planning go abroad get pregnant 39 know consequences life kid age 5 support around us 2 grandparents even less support around sister asked problem kid smh terrorized poor innocent kid would guys,Non-Supportive,No,No
6471,stand lamon dumbest person earth,Non-Supportive,No,No
6559,yes theres racism around lot better 80 s90 far free said blm protestors done harm good thats happens feed wrong wolf,Non-Supportive,No,No
1246,woman pink file divorce say statistics make good bet negative consequences avoidable,Non-Supportive,No,No
4672,riding hood car let jump oh face plant needs milk glass milk,Non-Supportive,No,No
6558,blm aims original black panther party unlike obpp blm makes lot noise absolutely fuck help black community strife yet obpp nearly 50 years ago like huey kids,Non-Supportive,No,No
2694,outstanding encourage us every areas life really proud gud bless ameen,Supportive,Individual,No
7878,catholic fully support lgbtq community sparkling heart god told us love everyone right,Supportive,Group,LGBTQ
422,day born till hearing palestine freecrying facetired face muslims love u palestine two hearts one day free,Supportive,Group,Nation
6432,understand meant black love white love asian love love,Non-Supportive,No,No
9035,know much okay start let know,Non-Supportive,No,No
1385,israel support israel heart red heart,Supportive,Group,Nation
2021,quarter final add team euro semi final,Non-Supportive,No,No
9217,steve jobs legend great video happy face smiley,Non-Supportive,No,No
881,ohhh poor kids parents israel n palestinian loudly crying faceloudly crying faceloudly crying facetwo heartsred heartfolded handsfolded handsfolded handsfolded hands,Supportive,Group,Other
8452,loudly crying faceloudly crying faceloudly crying face love palestine god help us love somalia,Non-Supportive,No,No
535,well motivate guess nothing willface without mouth,Non-Supportive,No,No
7752,amazing think nohomophobic people watch understand video frown sad andry pouting ps love accent,Non-Supportive,No,No
8297,might stand country mostly people hate im human free palestine red heart still respect want peace simple give palestine land back let palestine share land israel pray peace guys,Supportive,Group,Other
928,muslim countries impotent muslim countries keep watching oppression muslims palestine syria india burma मसलम कटर म स नपसक मसलम कटरय ज फलसतन सरय इडय और बरम क मसलमन क ऊपर जलम क स दखत रहत ह,Supportive,Group,Nation
7794,im otaku bl totally normal people support ur decisions,Supportive,Group,LGBTQ
9973,knew boy n frm india feel comfort watching jskred heart,Non-Supportive,No,No
7648,heart touchable speech understand father passing god taking care himfolded handsfolded handsfolded handsfolded handsfolded hands,Non-Supportive,No,No
3375,muslims blind killing muslims muslims syria pakistan yemen iraq iran etc face tears joyface tears joyface tears joyface tears joy,Non-Supportive,No,No
4246,wait look like protest full riot people ruining black peoples chances getting respect,Non-Supportive,No,No
1690,studied th standard whole lesson english,Non-Supportive,No,No
3081,million thanks volunteers teams helping bring smiles faces god bless,Supportive,Group,Other
8605,sry say woman attractive,Non-Supportive,No,No
2168,dr awole like god human form permanently got complete healing using roots herbs supplements ordered dr awole youtube eliminating long term hsv,Supportive,Individual,No
8683,thinking morning little man happy see smile today,Non-Supportive,No,No
4528,streets pay toll,Non-Supportive,No,No
6063,blm ridiculous dislike even worse second police car trying help somebody knocked first car protesters idiots letting second cop even help person facepalmingmale sign,Supportive,Group,Other
2330,wilson anthony please need help first time expert mrs sonia name mentioned good trustworthy exp reach already lost enough money trading,Non-Supportive,No,No
2149,know men women complicate relationship successful woman feminine time man like sitting watching tv woman brings snack without asking give hug cut grass without asked dresses smells good like think making showing masculine side would say need would never say need need feel close glass wine cat house plant laugh argument clean house cook good meal wash clothes need woman yes reason woman needs man men women human need companionship,Non-Supportive,No,No
496,renamed failure learning experience helped immensely something turn intended learned way something need keep avoiding life lesson change strategy keep pushing forwards,Non-Supportive,No,No
700,last comment deleted video really really sad n mutilated israelis untill stop hateing israel teaching kids school hate jews bring untill hate stops israel choice harsh self defence civillians told locate long ago,Supportive,Group,Nation
8237,jobs toh raw every hours paid dollars flat piece rate system,Non-Supportive,No,No
5947,lmao love stand coz scottish hahaha see english asking saying,Non-Supportive,No,No
3247,sympathethies children bottom heart hope nation safe honestly music song sucks stupid,Non-Supportive,No,No
9641,didnt even show reckege supposed know real,Non-Supportive,No,No
9906,userhqmejsd true know mr robert wilson george met conference california introduced us business strategy helped cover student loans,Non-Supportive,No,No
4306,blm protesters want equality except asians white people christian white people hispanic people jewish people forget white people yeah black people get rights actually black christians get rights actually lgbtq members join group well actually exclude let make look like jackasses,Supportive,Group,Other
4765,unfortunately going pay consequences actions embarrassed latin community make us look bad feel bad someone killed officer oncall one deserves die like fair cops la pay someone else mistake god bless,Supportive,Group,Other
7197,crying ivf girl turn ideology betrayed still using leftist buzzwords resources community first used quietly take ownership money handed like welfare alimonychild support second refers village idiots supposedly takes raise child hopelessly indoctrinated thank god infertile ever downloaded tricycle motor push switch genders potty training,Non-Supportive,No,No
8309,paren con los bobardeos los civiles por amor dios,Non-Supportive,No,No
2844,imagine poor girlwomen got raped beheaded hamas think families least young fella alive,Non-Supportive,No,No
7746,one time teen panic attack ikea rlly wanted hug anxiety happened cause covid could n guessing bf helping calming kissed cheek swear squealing inside decided future girlfriend ima pissed,Non-Supportive,No,No
1993,god bless folded handslight skin tone understand english subtitles recommend u turn beautiful story,Non-Supportive,No,No
7504,welcome joe brandons america nothing bunch socialists democrats probably illegal immigrants fighting jesus help us,Non-Supportive,No,No
5327,got cheesiest clip put together darwin finest,Non-Supportive,No,No
5604,ya rab sent billions angels help family aameen,Non-Supportive,No,No
4196,officer would reversed blood clot lying floor,Non-Supportive,No,No
1477,thanks allah sent assist smiling allah bless every muslim smile red heartred heart,Supportive,Individual,No
111,biden guilty supporting genocide anyone logical see going,Non-Supportive,No,No
5376,lots love india stay strong give dream brothers,Supportive,Group,Other
9095,jewish families reason people want forget homes hamas came tortured slaughtered would never happened people selfish greedy evil,Non-Supportive,No,No
3986,muslim pakistan love palestine muslims around must support sufferingpensive face,Supportive,Group,Nation
1226,children burdened lot heartbreak suffering unacceptable palestinered heart,Supportive,Group,Other
4694,guy fell car faking dead,Non-Supportive,No,No
7204,major part problem women expectations days much media selfie culture made women expect date men 10 physical looks mostly also financialconfusion women refuse date men 10 get regular one night stands men 10 created massive population females think deserve perfect looking man ordinary man maybe one male pattern baldness rich averageconfusion given chance girls crying sobbing camera lens tiktok crying men 10 wanting commit,Non-Supportive,No,No
4740,rip everyone heading 101 south time tom foolery,Non-Supportive,No,No
6330,original movement racist said movement taken blm organization definitely racistextremist organization,Non-Supportive,No,No
9611,muslim christian need peace battle support peace,Non-Supportive,No,No
9331,one queen england face tears joy great video btw,Non-Supportive,No,No
883,oh god really needed see recovery,Non-Supportive,No,No
9457,new thing united states word terrorist taken context government army terrorist organization g biggest terrorist organization united states military fucking politicians going war genocide,Non-Supportive,No,No
8323,inevitable truth world riches home wall made method corruption bribe financial gap bring everyone equality need education education expensive equality anyone would something,Non-Supportive,No,No
8691,sad see boss jealous messi reason,Non-Supportive,No,No
473,luv malaysia understand language almost makes cry,Non-Supportive,No,No
3960,woman percent men average nitwit concept average means percent women average therefore find adequate man self idolizing elitist perfect example women like end tears,Non-Supportive,No,No
6554,honestly thinking hamburger analogy 30 mins really understand melting brain,Non-Supportive,No,No
280,sad sirbecause human form animals children others suffering,Supportive,Group,Nation
3124,israel alleged apartheid practices purported violate humanitarian law accusations committing war crimes innocent palestinians call international court justice icj take action addressing concerns including potential arrest prime minister netanyahu identified supporters war free palestine crying face,Supportive,Group,Nation
4794,justice served beat cops one risking lives useless lives,Supportive,Group,Other
1799,understand exactly feel wife passed away years ago felt alone since,Non-Supportive,No,No
2399,think find portugal played wales semi go penalties black flag,Non-Supportive,No,No
2293,love indonesia keep strong allah always us believe,Supportive,Individual,No
8021,religion race matter innocent people dying stop war,Supportive,Group,Other
8102,today whole world standing palestinians except radicalist actual terrorist like us uk india,Non-Supportive,No,No
5255,hamas fault palestinian people voted power,Non-Supportive,No,No
4902,though feminism disgusting guys laughing cringy slept around still single part problem,Non-Supportive,No,No
8964,follow movement lost want guy confusing,Non-Supportive,No,No
3253,little child cry allah avenge israelis may allah guide muslims world something significant protect children women elders palestine brutality israelis stay safe protected free free palestine stand palestine,Supportive,Group,Nation
2887,matter much darkest night sun rise light shine,Non-Supportive,No,No
7918,boyfriend broke afraid hold hand public,Non-Supportive,No,No
2415,knew someone would mention chrissy barymoer perfect helping beginners grow would recommend anyone else,Non-Supportive,No,No
8938,love indonedia love palestine stay strong allah always,Supportive,Group,Nation
6639,example us companies pledged billions combat racial justice invest blackowned businesses supported white based business even suggested one racist racist black based business business america american based business never thought business white black racist thing whites support business support blm notion black based business,Non-Supportive,No,No
5566,let give try kind information get youtubers,Non-Supportive,No,No
