id,comment,task1,task2,task3
2910,"creo que algunos no entendieron el mensaje y sigue como idiotas peleándose....

Religioso Ama a tu progimo.
Ateo o Agnostico aste valer como persona teniendo respeto.",Non Support,No,No
322,"Con garra y ganas, lo que salga, pero con el triunfo mucho mejor, ojalá les siga llendo bien, la suerte está con ellas y eso es un plus que se debe aprovechar",Support,Group,Women
3245,Excelente recuperar la Memoria de la Comunidad Negra de Alemania!,Support,Group,Black Community
3021,bueno yo sigo teniendo una duda específicamente ¿que aportes a dejado la religion? cabe mencionar que yo soy cristiano y apenas me estoy acercando a cristo y no entendido que ah dejado de importante la religión alguien me podría aclarar mi duda? ¿CUALES SON VERDADERAMENTE LOS APORTES MAS IMPORTANTES QUE HAYA DEJADO LA RELIGION?,Non Support,No,No
1085,solo existen dos,Non Support,No,No
685,"""Poliamoroso"": Las parejas que tienen muchas parejas

💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀",Non Support,No,No
1532,"De seguro, o quien sabe, como mi comentario es de los desconocidos, de seguro van a llegar luego los chabones que dicen ""tipico chavo/a lgtb por moda"" pero bueno, yo todavia no conozco mis gustos hacia las personas, solamente me han gustado 3 chamacos, 2 en el kinder y 1 en la primaria,  pero ahora que estoy en la adolecencia no llego a saber que es lo que en realidad me gusta, porque ningun chico o chica me llama la atencion, que lo llegue a querer.  Estoy realmente confundia, porque ademas de eso me gustaria ser chico, pero tambien chica. Realmente rara que soy D:

Si, de seguro escribi mal el LBGT o LGTB la verdad me confundo mucho.",Non Support,No,No
1964,"Estoy tan alegre que la nueva película de PIXAR haya fracasado, por imponer la idiología la comunidad LGBTQ+ , esa no es una película para adultos, menos para niños. Porqué quieren imponer su idiología a la fuerza a lo niños.
Esa comunidad no respeta.
El respeto no se exige, el respeto se gana.
Mis hijos los educo yo.









Que YHWH Les Den Infinitas Bendiciones Sí Es Su Voluntad.",Non Support,No,No
937,Hetero sexual pero apoyo a todos los demas,Support,Group,LGBTQ
1233,Yo antes no estaba segura de mi orientación sexual y después fui creciendo y me di cuenta que soy pansexual 👁👄👁,Non Support,No,No
1642,feliz dia del orgullo <3,Support,Group,LGBTQ
1100,"Soy bisexual y mis madres ya lo saben y me apoyan(si cuando digo madres,es porq mi madre q me tuvo es lesbiana y tiene una pareja mujer,q la pareja me crió desde q tengo 5 años y la llamo mamá)gracias por hacer este vídeo,yo quería aprender pero no encontraba vídeos tan bien explicados como el tuyo♡👏👏",Non Support,No,No
2868,"Es por personas como esta que la gente sigue pendeja.
¿De cuando acá la ciencia y la religión van de la mano? ¿De donde voy a sacar mi ciencia? ¿De la biblia? Jajaja 
Amigo, la religión por muchos años oprimio a la gente que se atrevió a cuestionar sus creencias... Si por la religión fuera, seguiríamos en la época de las cavernas pensando que la tierra es plana.",Non Support,No,No
2324,Entonces soy de género no conforme?😮,Non Support,No,No
2688,La qué habla del ballet se llama biología señores,Non Support,No,No
1190,"De que sirve que por cada particularidad física o de carácter nos inventamos un género nuevo?
Existen hombres y mujeres, todos somos diferentes entre nosotros, y no seras menos hombre o menos mujeres, por mucho que te esfuerces, porque o eres uno o eres el otro
Diganme su opinión, estoy abierto a escuchar lo que piensan",Non Support,No,No
2480,"Cómo dijo mi gran y sabio abuelo 
Generos hay muchos sexos solo hay 2",Non Support,No,No
1019,MAMA nos volvimos pokemones,Non Support,No,No
1586,Acabo de darme cuenta q soy bisexual 😮,Non Support,No,No
1958,wtf los compro disney,Non Support,No,No
2186,Porfin un video sobre la comunidad q incluye a los no binarios y lo explica,Support,Group,LGBTQ
1802,Y alosexual,Non Support,No,No
624,"Si a una mujer le gustan todos los generos ""pansexual"" menos los hombres ¿se contaria como una mujer lesbiana o una mujer pansexual?",Non Support,No,No
1535,Ase un año me enteré de la comunidad LGBT antes creía que mi vesino era estrabagante a hora se que era travesti,Non Support,No,No
2907,Cada vez hay más maldad en el mundo por falta de fe en Dios,Support,Group,Religion
3056,"Pienso que científicos creyentes como ateos han aportado para el avance de la ciencia, independiente de la creencia de cada quien la ciencia en este sentido es imparcial.",Non Support,No,No
1650,"Morra random:soy trans

Yo:solo existen dos géneros 

Ella: no es cierto hay más de dos géneros bla bla

Yo:dios solo creo dos géneros 😎",Non Support,No,No
2983,"me alegra no ser el único salvadoreño en escuchar al doctor Craig, Dios lo está usando mucho en este ministerio. Te felicito a vos tambien Carlos, saludos!",Non Support,No,No
2089,"generos antes: hombre y mujer
generos ahora: hombre y mujer 







xd",Non Support,No,No
752,yo soy transexual pero mi familia no lo acepta más que mis hermanos y mis sobrinas pero para mi eso es suficiente los quiero ❤,Non Support,No,No
57,"Todo lo que esperaba para estos juegos olimpicos era ver mi bandera en la cima y escuchar el himno, yo creí que no lo escucharía pero si y estoy muy feliz.😁",Support,Group,Nation
303,"La verdad juegan muy bien, felicidades y sigan adelante con humildad pero con mucha decisión!!",Support,Group,Other
1302,Soy hombre y también heterosexual pero medio curiosidad el video,Non Support,No,No
1431,solo dos generos el resto son orientaciones,Non Support,No,No
1677,Los aún no binario o algunos de esos tantos en sexos pues entonces si los confundes te llevan a la cárcel Dios no seáis tontos el mundo se va a la suite Dios tía y no sé porque esto tiene tantos leyes 😠😠😠😡,Non Support,No,No
1578,Yo soy un chico Cis genero y Pansexual y respeto a las personas de otro genero o orientacion sexual,Support,Group,LGBTQ
1959,Podrían hacer un draw my life de Elon Musk,Non Support,No,No
2211,¡Madre mía! Hay q hacer un máster pa entender todo esto... demasiado moderno para mi,Non Support,No,No
973,Como La Pepsi dijo Los géneros son para la música no para las personas 🤑,Non Support,No,No
1330,Solo hay dos generos y soporta lo demas es solo atraccion hacia personas de tu mismo genero y si si esta mal ser de otro supuesto genero porque naciste siendo mujer o hombre y no lo puedes cambiar 👁️👄👁️💅 y soporta,Non Support,No,No
2082,"O naces hombre o naces mujer, TikTak Draw.",Non Support,No,No
2354,Tanta wea solo para decir que eres gay👽,Non Support,No,No
912,"Soy hombre, hetero y creyente (esto último en verdad no tiene nada q ver con esto xD) pero weno, gran video, muy bien explicado, y pues eso, el respeto hacia los demás, independientemente de la orientación, es lo más importante 👍👍",Support,Group,LGBTQ
1397,Creo que soy demisexual,Non Support,No,No
0,Un orgullo nacional Gloria Zarza! Felicidades!,Support,Individual,No
2436,"Yo me considero como genero no binario, en pocas palabras soy un tanque sovietico",Non Support,No,No
785,Yo soy pansexual y poliamoroso por que me enamoro de hasta una mosca y tengo muchas parejas ala vez._.,Non Support,No,No
2697,"Yo siempre he visto discriminación no sólo en México, si no en Cuba de múltiples formas, no sólo en las que se explican en este documental, si no en los juegos y los chistes que se hacen unos a otros, etc.. Así como en los prestadores de servicios, donde el que atiende tiende a ser una persona de fenotipo ""blanco"" mientras que los ""afros"" (como dicen el documental no debemos de hablar de colores) siempre están realizando trabajos con menos jerarquía dentro de la estructura de las labores que se realizan. Insisito, en México es el mismo problema.",Support,Group,Black Community
949,Gay o bi alguna de esas soy,Non Support,No,No
1570,No mames ni q fueran Pokémon,Non Support,No,No
2413,"Solo hay 2 generos, punto final🧐🧐🧐",Non Support,No,No
1599,"Soy lesbiana,,, por desgracia 😞",Non Support,No,No
2701,Bancos para los de color negro y restaurant solo para blancos. Mi pobre abuela y sus 6 hermanas por ser mulatas aun ni con dinero podian pasar por el parque Agramonte en Camaguey ni ir a los bailes sociales. De eso casi nadie habla habia tremenda segregacion y racismo. Ella me hacia los cuentos y yo no lo entendia. EPD,Non Support,No,No
1816,Yo soy trans (nací siendo mujer pero yo me siento hombre),Non Support,No,No
3072,"Juntemos a los mas grandes lideres religiosos con unos cuantos científicos y que obtendremos la tercer guerra mundial o una nueva era oscurantista.
Juntemos a varios cientificos y filosofos que obtendremos mas respuestas y análisis coherentes.

El problema no radica en si existe o no existe Dios el problema es el fanatismo religioso por medio del cual todos se arrancan el pelo discutiendo sobre quien tiene la verdad sin permitirse aceptar que cada quien es libre de pensar y crear el lo que mejor le paresca... El ser humano en pleno uso de sus facultades mentales tiene la capacidad de dejarse de idioteces, como qui pripisito tengo? o pir qui istoy aqui?... eso es absurdo por que van a haber 8 mil millones de organismos vivos con un proposito definido, el unico proposito real es vivir y hacer el bien a nuestros semejantes cuidar nuestro planeta por que nadie va a venir de algun rincon del universo a regalarnos otra roca vegetada, ese quiza es nuestro proposito y nuestra unica razon de estar aqui y es por la que menos se preocupan.",Non Support,No,No
3124,"desde mi punto de.vista, la religion y la ciencia son cosas muy diferentes y no pueden ir juntas.
¿por que?
Religion: ve algo que no entiende y crea a un dios para justificar su origen y proposito, obligando a los demas a pensar igual y quedarse encerrados en el mismo pensamiento
Ciencia: ve algo que no entiende y plantea una hipotesis, investiga hasta hayar una conclusion, para poder determinar su origen y proposito",Non Support,No,No
1569,"sinceramenyte yo soy bisexual, hasta ahora no le digo a mi madre",Non Support,No,No
2682,"colombia pais racista ,clasista e hipocrita. la gente no lo entendera pero significa no sentirse comodo en ninguna parte y desconfiar de todos,burlas,ser tenido como menos inteligente,ladron y todo lo malo ,asi como se puede sentirse en comunidad alguien y sentir amor por alguien diferente a ti, si siempre esperas ser rechazado de algun modo",Non Support,No,No
2363,se nos cayo un idolo,Non Support,No,No
1117,En mis tiempos eso era querer a alguien xD,Non Support,No,No
986,Yo soy Bi pero nunca saldre del closet supongo pero es porque no soy un genero fluido xD,Non Support,No,No
1316,Descubrí que soy pansexual,Non Support,No,No
985,"A ver… tengo 11 años y soy bisexual,  me gustan 2 amigas mías y un chico en mi salón aunque no se si este mal que sea LGBT",Support,Group,LGBTQ
731,"Soy entré Pansexual y Asexual, lo de Pansexual esq no me importa q genero o sexo sean las personas que me ""gusten"",  asexual no esq no me gusten si no que es como un amor "" falso"" y ""confundido"" pero luego me ""enamoro"" de otro y pues se me hace ya complicado y resulta que es por su belleza y lo lindo, asique quiero saber cual es mi sexualidad :( por mientras yo digo q soy entre Pansexual y asexual",Non Support,No,No
2903,Querido el arte nos ha aportado muchas cosas asi que tu supuesta comparacion con las matematicas y arte no vale v: bai,Non Support,No,No
1517,Sii >:) Me encantó el video porque apesar de que soy hetero los apoyo mucho pero no se si les digo a mis padres porqie creo que ellos no los apoyan pero de mi lado tiene todo mi apoyo >:),Support,Group,LGBTQ
2800,En la iglesia cristiana evangélica también han ocurrido milagros,Non Support,No,No
332,5:44 primera vez que el palo nos ayuda xd,Non Support,No,No
1255,Autosexual porque me gustan los carros,Non Support,No,No
1719,son  orientaciones no géneros,Non Support,No,No
1912,🌈FELIZ DÍA DEL ORGULLO LGBT🏳️‍🌈,Support,Group,LGBTQ
2432,Orgulloso de ser heterosexual.,Non Support,No,No
1189,Autosexual se me hace es cuando un hombre se pajea a muerte xD,Non Support,No,No
875,Soy hetero 🗿🗿🗿🔱,Non Support,No,No
511,soy feliz de ser grisexual 💜🤍🖤🏳️‍🌈,Non Support,Group,LGBTQ
2384,😊🏳️‍🌈😊,Support,Group,LGBTQ
2929,"Es mas, solo pónganse a pensar en que es la religión, es la peor basura jamás inventada, pero esa basura tuvo éxito, convenció a todo el mundo de que ahí arriba hay un tipo invisible que controla todo lo que haces y qué pese a su voluntad nosotros debemos castigar a los homosexuales, la gente que no cree en el debe ser torturada y/o asesinada... ah pero eso era antes, ahora la religión se ve obligada gracias a que la gente ya no es tan idiota, a no poder cometer ninguno de esos actos. La religión no es más que un gran negocio que se lleva millones y millones todos los años. Porque al parecer dios necesita de tu dinero. Y aún hay gente que cree en esto, y se atreve a compararlo con la CIENCIA, no, pero como la sociedad avanza y ya salio de la etapa medieval en la que se creían cualquier cosa que un idiota con ganas de hacer dinero les dijera, ya cada vez son menos los religiosos y llegara un día en que este gran negocio, genocida, violador, llegue a su fin. PENOSO VIDEO Y CONTENIDO ESTE CANAL",Non Support,No,No
3014,"Yo soy química & cristiana, me gusta la ciencia pero tengo fe en Cristo.",Non Support,No,No
2091,"Solo hay dos géneros, punto😶",Non Support,No,No
1889,Yo soy un helicoptero apache,Non Support,No,No
850,"Yo me identifico con bisexual 
💟💟💟💟💟💟💟💟💟💟💟
💜💜💜💜💜💜💜💜💜💜💜
💙💙💙💙💙💙💙💙💙💙💙",Support,Group,LGBTQ
2234,Dios solo dijo cree a la mujer y hombres y .,Non Support,No,No
3147,"Filosofía no es Igual a ateísmo.
",Non Support,No,No
540,"Osea que si un tio le gusta los femboys, en verdad no es gay sino ginosexual? XD",Non Support,No,No
288,"Sigan así muchachas, con todo el 6 de septiembre contra Colombia ahora!",Support,Group,Women
2245,🌈🚫🌈🚫🌈🚫😡,Non Support,No,No
882,"Al principio pensaba q era arromantica, ahora soy pansexual pero a la vez otros pero esq AAAAAAA NO SE",Non Support,No,No
348,El femenil juega mejor que el de los hombres 😂😂,Support,Group,Women
1349,Soy poliamorosa XD tengo 98 crush 🤠👍,Non Support,No,No
2452,Yo soy un vaso de agua 😃,Non Support,No,No
1321,Me siento mujer bro estoy dudando mucho siento que si soy hombre o mujer  y mucho temor tengo en contarle a mi familia porque todos son homofóbicos aveces no encuentro alquien que me apoye,Non Support,No,No
1416,"Tantas cosas 🤯
Pero nadie puede discutir la realidad es que solo hay dos géneros ya lo otro solo lo ha inventado el ser humano.

De verdad como vamos van a ver mas banderas de estas que de Países 😂.

Y ojo no significa que yo este encontra pero la verdad ya estan exagerado con tanta cosas.",Non Support,No,No
2031,Yo nací en el más del orgullo,Non Support,No,No
2230,Yo pensaba que solo existían 2 géneros,Non Support,No,No
2581,"Naturaleza: Dos sexos: machos y hembras

Sociedad: Genero: hombres y mujeres 

Mi expresión: masculino o femenino.

Puedo ser un macho, que se viste como mujer y es femenino, listo.",Non Support,No,No
1990,*Dos géneros ✌*,Non Support,No,No
3053,Donde Termina la Razón... Comienza la Fe .....,Non Support,No,No
2507,Osea un montón de esrupideces,Non Support,No,No
2294,No importa con que se identifique la gente; yo odio a todos por igual,Non Support,No,No
1194,Xd pensé que era hetero pero soy pansexual,Non Support,No,No
486,"Yo soy sexy.
Y PUNTO.
Gracias",Non Support,No,No
3022,"Dios,es una fuerza mas grande que todas las cosas que decies los cientificos,se a comprovado que cientificos no afirman que Dios no existe,realmente se trata de ti ? realmente existe? te lo preguntas miles y millones de veces,pero tener fe y esperanza te hace creer mas alla de lo que estes pasando,cuando lo necesitas y lloras suplicas que todo salga bien x o y situacion el ESTA HAY' ..",Non Support,No,No
2342,"Me dan miedo la gente de los comentarios, ew.",Non Support,No,No
69,Felicidades Gloria es un orgullo para todos los Mexicanos,Support,Individual,No
1530,Nuevo sub por cierto soy bisexual también,Support,Individual,No
448,"Acá los pansexuales 🥳
👇",Non Support,No,No
2953,"Buenos puntos, pero siguiendo esa misma lógica de quien gana y quien no por ser más útil, digamos que en graaaan parte de los casos siempre ganará la ciencia. Si estás sufriendo una enfermedad que necesita ser tratada urgente, irás al médico o pedirás que hagan cadenas de oraciones para que te cures por el poder del Espíritu Santo? Pues que si eres un hombre o mujer de mucha fe cristiana deberías inclinarte por la segunda opción (?) pero el sentido común de cualquier persona dirá que vayas al doctor y este te recete medicamentos o hasta quizás tendrás que pasar por una operación. En la Edad Media la gente moría por enfermedades que hoy nos hacen apenas cosquillas, como un resfriado común, antes de la penicilina esto era así, y me refería a la Edad Media porque no se supone todo giraba en Dios y solo la fe en este ser debió ser suficiente para apalear todas esas perdidas? ",Non Support,No,No
627,Sin hate yo se que soy HETERO 🏴🏳️🏴🏳️🏴🏳️🏴🏳️,Non Support,No,No
1858,"El género no existe en humanos y animales, solo el sexo",Non Support,No,No
1389,Yo leí el título como: las oraciones y los géneros 😃👍,Non Support,No,No
1329,"No creo que eso valla a funcionar, por mucho que el sistema quiera implantarlo, una de las causas es que es  muy complicado",Non Support,No,No
1450,2:42 modo lectura XD,Non Support,No,No
541,Emmm normalmente dicen que cuantos mas etiquetas mas diversidad. Pero y si decimos q somos seres humanos? Lo que tenemos que hacer es aceptarnos cuales somos sin importar nada mas que como eres como ser humano y por nada mas!!!,Non Support,No,No
2183,"Amiga has cambiado, te explico cuando yo era un niño solía pensar que tú eras cool ;(",Non Support,No,No
136,Yo con lagrimas en los ojos de escuchar el himno de mi país,Non Support,No,No
2801,"Podrían explicar por qué los judíos están equivocados al negar a Jesucristo
Y por qué ellos y los hermanos separados adoran a Israel (estado) como santo y elegido??
Por favor",Non Support,No,No
804,Diache y yo aquí a ni me decido si son hetero bisexual género fluido o sea me gustan los hombres pero no me moles o me incomoda estar con una mujer pero bueno el tiempo lo desidiya después de todo todavía tengo 11,Non Support,No,No
1828,"Si decis que no sos binario estas aceptando que existen dos sexos... por ende perteneces a uno de los dos, toda una paradoja.",Non Support,No,No
2456,"A mí me parece que usar la palabra ""queer"" para definirse a un@ mism@ está bien, ya que puede ser una buena forma de empoderarse y usar esa palabra que han usado para humillarnos, darle la vuelta y mostrar que no nos sentimos avergonzad@s de ser lo que somos. Que intenten utilizar una palabra que simplemente significa que nos salimos del binarismo de género y la heterosexualidad como insulto me parece absurdo porque no es un insulto real, ya que no es algo malo. Sin embargo, creo que no sería muy correcto usar esta palabra para señalar a otra persona, ya que es igual que usar la palabra que empieza por ""m"" y termina por ""n"". Yo la uso para empoderarme, pero much@s pueden sentirse mal si se les señala de esa forma. Así que debería un@ preguntarle a otr@ si se siente cómod@ con esa palabra o no antes de usarla. Espero que mi comentario pueda ayudarles a usar estas palabras con otras personas sin ofenderles :)",Support,Group,LGBTQ
2736,lo ultimo es mentira por que dios dice en los mandamientos . no tendras dioses ajenos delante de mi,Non Support,No,No
1516,"Antes estaba indecisa entre pansexual y asexual, porque si bien nunca había sentido atracción por alguien de mi mismo género, parecía algo posible para mí, porque cuando llegué a sentir atracción (de verdad) por alguien de mi sexo opuesto, fueron bastante banales, por eso no descartaba la idea que alguien de mi mismo sexo me atrajera, pero hace muchos años que no había sentido atracción por alguien en lo absoluto, así que conservaba esas 2 posibilidades. Conocí la orientación de ""Demisexual"" y me identifico como demisexual, cumple con mis características...
Parece absurdo, como lo dijo ""En mis tiempos se llamaba querer a alguien"" y sí, pero les puedo decir, que, por ejemplo, mi percepción física de las personas depende de cómo son, por eso es prácticamente imposible que yo me fijé en alguien en la calle o algo así, el chico más popular y ""guapo"" de la escuela, para mí no significa nada porque no lo conozco, no puedo generar ningún tipo de atracción por alguien del que no sé cómo es, y si alguien es lind@, pero hace algo cruel, o que simplemente no vaya conmigo, deja de figurar en lo absoluto, las cosas que antes me parecían lindas, ahora son lo contrario, y me deja ver muchos más defectos que antes podía no notar, al grado de ni siquiera poder destacar a esa persona dentro de un grupo de más personas desconocidas. También lo de la atracción sexual es algo que no logró con alguien que no me gusta y para que alguien me guste necesito un vínculo emocional, por lo que puede ser el género que sea, necesito encontrar a una personalidad atractiva y solo así me puede gustar alguien y con eso tener atracción sexual, así que es algo difícil conseguirla, por eso es algo muy cercano a ser asexual.
En fin, podría seguir escribiendo, pero el caso es que ser ""Demisexual"" solo me sirve para encasillar una serie de cosas que siempre he pasado/sido, desde mucho antes de conocer la definición ;)",Non Support,No,No
650,"1:20 Lo que acabas de decir es algo totalmente incorrecto , los pansexuales no le gustan todos los generos, si no que ellos  les puede atraer alguien sin importar su identidad. Ññññ",Non Support,No,No
1541,"Yo soy Transgénero y Gay :3 pero me dicen que tengo vos de niña para ser niño, mí pelo es para nada largo y me dicen ""nieta"" ""amiga"" ""compañera"" ""prima"" :(",Non Support,No,No
2189,❤️🏳️‍🌈,Support,Group,LGBTQ
1198,y lo promicuridas k bandera es?,Non Support,No,No
1458,"hola soy Ana y soy una persona genero fluido, no binario o bigenero la verdad no se que soy ya que a veces suelo fluir pero luego me siento ambos y luego no me siento nada aunque biologicamente sea chica, alguien sabe que demonios soy?

y sobre la orientacion soy pansexual ya que como fluyo como hombre soy hetero pero cuando fluyo con mujer soy lesbiana y tambien cuando soy bigenero o no binario ps lo mas logico es ser bi o genero ya que no sabria si soy hetero o lesbiana a y por cierto tambien soy asexual o algo parecido :>",Non Support,No,No
2309,SSUS VIDEOS SON REBUENO PRERO YA LA CAGARON,Non Support,No,No
611,soy pansexual no binario <3,Support,Group,LGBTQ
2398,"me siento identificado con un porche carrera GT con nitroso que sirve para impulsarte en las carreras, para poder recargarla deberías llegar a una velocidad máxima de 209 KM o derrapando.
El Porsche carrera GT sirve en pruebas de derrapes, carreras de circuito y carreras de velocidad maxima",Non Support,No,No
247,Como simpre los paralímpicos  si ganan oro y más medallas los otros solo van a pasear,Support,Group,Other
3146,"Si no existiera la religión, no habría controversias :) 

-- Ea obvio que por propia integridad física, pocos científicos se atrevieron a expresar abiertamente sus creencias religiosas durante los siglos XVI-XVIII.
--Lo que tu llamas ""seculares"" en realidad fueron los ""positivistas"", que por cierto jamás se opusieron a la religión, más bien creyeron que la ciencia y la técnica eran necesarias para alcanzar la felicidad humana. 
--Las universidades que citas son increíblemente viejas (casi mil años), por lo que desde su fundación se crearon como Universidades en donde se incluía a la religión como parte de su materia de estudio.",Non Support,No,No
789,yo soy mujer pero me gusta mas que me traten como hombre (trans) y respeto cualquier otra opinion y orientacion sexual por igual.,Support,Group,LGBTQ
3250,"No le crean nada a ge Éste hereje, cuando vengan los siete jinetes del apocalipsis, y la segunda venida de Nuestro Señor, este hereje va a ser el primero que va a estar chillando y suplicando por una vida eterna, Ahorita muy avalentonado con su video y su discurso de qué Dios no existe, de YouTube, pero ya lo quiero ver rogándole a Nuestro Señor Dios padre todopoderoso.",Support,Group,Religion
2215,Este tipo de videos no me importan lo más mínimo,Non Support,No,No
2037,🏳️‍🌈❤,Support,Group,LGBTQ
2068,Ok pero mimos ya sé acabo el mes de la lgbtq porque todavía tienen esa foto de perfil,Non Support,No,No
1276,Soy heterosexual :D pero apoyo y respeto a la comunidad,Support,Group,LGBTQ
2506,"Mi sexo: femenino
Mi genero: femenino
Mi identidad: demichica
Sexualidad: aroace",Non Support,No,No
1209,Yo soy pansexsual y genero no binario espero que mis apas lo entiendan pero  weno nací haci xd :>,Non Support,No,No
2219,Bueno si hacen video de esto espero que tambie  lo hagan mañana,Non Support,No,No
22,"*Mexicanos despertemos y también APOYEMOS A NUESTROS ATLETAS PARALÍMPICOS!!!*
*VIVA GLORIA ZARZA!!!*
🇲🇽🇲🇽🇲🇽",Support,Group,Other
1060,"género: No binario
orientación sexual: Pansexual 
nomás voy a la panadería de la esquine y me caliento xdxdxd",Non Support,No,No
1674,"Si soy de género masculino, me comporto y me acepto como varón , me gustan las mujeres.... Que vendría a ser?????🤷🏻‍♂️🤷🏻‍♂️🤔🤔",Non Support,No,No
3229,Siempre con la Hispanidad! Viva Mexico!! 🇪🇦❤🇲🇽,Support,Group,Nation
772,Yo soy género fluido por que parezco hombre y mujer 😐 mis compañeros no saben ni mi genero,Non Support,No,No
2344,"La unica pregunta que ahy es ...

QUIEN MRD APROBO LAS ORIENTACIÓNES",Non Support,No,No
3023,eeyyy estudio fisica me gustaria saber como se relaciona con la particula de Dios :O genial!,Non Support,No,No
2225,Yo me identifico con una PS2 y me gustan los móviles Nokia,Non Support,No,No
327,Vamos muchachas que ustedes pueden darle alegría al país nacional mexicano porque México si es potencia en fútbol pero na más en las puras mujeres y ahorita ya las mujeres dominan el ámbito deportivo si antes na más era para hombres ahora las mujeres se chingan a los hombres en deportes y eso va por el fútbol y vamos chicas que yo tengo mucha fe en ustedes y si llegan a semifinal seria algo asombroso para la liga mx femenil demostrar garra y pasión por el deporte y mucho amor a la camiseta verde y si la selección mexicana mayor varonil no da ni una ni otra pues la selección mexicana mayor femenil esa si tiene poderío y más en las selecciones menores más mujeres que hombres por mucho y decir siempre y más en este mes de septiembre viva México cabrones....👏👏🙌🙌💪💪💯💯💥💥🔥🔥⚡️⚡️....⚽️⚽️🏆🏆🥇🥇🏅🏅🎖🎖⭐️⭐️🌟🌟🏟🏟🥅🥅🧤🧤....🇲🇽🇲🇽🇲🇽🇲🇽,Support,Group,Women
2226,"Feliz día del Orgullo!!!!🏳️‍🌈🏳️‍🌈
Vamos LGBTQ+ Son de lo mejor
Y también los heteros respetuosos 🦊🏳️‍🌈",Support,Group,LGBTQ
351,bien jugado  chicas aho 😊,Support,Group,Women
1948,Vine a aprender y termine más confundida a como estaba hace 4 minutos jajahah.,Non Support,No,No
2065,Jaja gay,Non Support,No,No
1095,soy bisexual y tan bien me gusta sapiosexual osea que me gustan los inteligentes,Non Support,No,No
1289,Géneros : musica 🤑,Non Support,No,No
2097,Yo soy transforme de autos,Non Support,No,No
831,"Mujer lesbiana
 ¡Y ORGULLOSA DE LO QUE SOY!",Support,Group,LGBTQ
1714,Me siento identificado como un helicóptero apache ruso,Non Support,No,No
3005,Carlos me gustaría saber que vos pensas de los dones espirituales? En especial Don de lenguas y de profecia????????,Non Support,No,No
3099,dile esas cosas sobre el propósito de la vida a un perro el te ignoraba y seguirá con su vida,Non Support,No,No
